participant_id	age	sex	edu	nlang	ahrq_score	manipulationfactor	orthographicfactor	verbalfactor	visualfactor	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	cognitive_and_emotional_regulation	social_connection	engaged_production	dance	physical_exercise	swt_score_cs	swt_score_us	hand_index	bsmss
sub-pp108	24.8	f	17	4	0.217391304347826	4.25	1.83333333333333	3.66666666666667	4.8	80	86.6666666666667	85	80	80	60	95	87.5	2	5	0	33	12	17	11	10	7	3	80	44.5
sub-pp110	20.1	f	13	6	0.152173913043477	4.625	3.83333333333333	4.16666666666667	4.7	88	83.3333333333333	100	90	53.3333333333333	70	100	70	2	20	0.75	22	16	9	3	3	7	9	85	66
sub-pp111	22.6	f	16	4	0.239130434782607	2	2.16666666666667	2.33333333333333	2.8	88	76.6666666666667	100	95	33.3333333333333	75	95	50	2	15	0	35	15	13	2	8	5	3	90	47
sub-pp112	20.9	f	14	5	0.282608695652173	2.5	1.83333333333333	2.91666666666667	3.6	64	73.3333333333333	95	95	53.3333333333333	70	100	62.5	5	15	4	36	10	32	2	13	4	4	80	53
sub-pp114	20.5	f	15	4	0.184782608695652	4.125	3	3.5	3.9	92	83.3333333333333	75	85	26.6666666666667	80	100	77.5	0	8	0	31	14	9	2	14	7	4	55	55.5
sub-pp115	29.2	m	17	4	0.206521739130434	2.875	2.83333333333333	3.25	3.1	60	86.6666666666667	80	70	73.3333333333333	80	40	65	0	3	0	31	9	21	7	13	9	6	85	41.5
sub-pp116	18.3	f	14	4	0.315217391304349	3.375	2.66666666666667	3.75	4	96	96.6666666666667	100	100	40	95	100	92.5	0	15	0	31	13	13	2	10	10	7	100	36
sub-pp117	19.9	f	13	4	0.304347826086957	3.25	1.83333333333333	4.16666666666667	2.6	80	73.3333333333333	75	65	86.6666666666667	50	80	62.5	5	10	0.125	36	13	38	5	12	3	4	80	32
sub-pp118	20.2	f	15	3	0.108695652173913	4.375	2.16666666666667	3.58333333333333	4.9	76	86.6666666666667	95	90	46.6666666666667	90	100	80	5	15	1	39	14	43	9	18	3	3	80	58
sub-pp119	26.4	m	20	13	0.282608695652175	3.875	2.33333333333333	3.25	4.3	84	83.3333333333333	90	75	80	45	65	80	2	10	0.03125	27	10	11	2	15	6	6	75	58
