participant_id	purdue_dh_avg	purdue_ndh_avg	purdue_both_avg	purdue_dh_ndh_both_avg	purdue_assembly_avg	ran_tot_acc	ran_tot_rt	reading_text_acc	reading_text_rt	cvlt_tot_imm	cvlt_tot_recall	spelling_regular_acc	spelling_irregular_acc	spelling_pseudo_acc	spelling_tot_acc	spoon_acc	spoon_rt_manual	regular_acc	irregular_acc	pseudo_acc	regular_rt	irregular_rt	pseudo_rt	non_word_rep_span	non_word_rep_acc	phon_suppr_acc	phon_suppr_rt_manual	wordreading	apm_corr	apm_incorr	apm_rt	alerting	orienting	reorienting	inhibition	rtt_sub_corr	rtt_sub_incorr	rtt_sub_rt	finger_tapping_dominant	finger_tapping_nondominant	digit_for_span	digit_back_span	rtt_sum_corr	rtt_sum_incorr	rtt_sum_rt	corsi_back_span	brocanto_corr1	brocanto_incorr1	brocanto_rt1	brocanto_corr2	brocanto_incorr2	brocanto_rt2	brocanto_corr3	brocanto_incorr3	brocanto_rt3	mlat5_corr	mlat5_incorr	mlat5_rt	cvlt_long_corr	cvlt_long_incorr	cvlt_long_rt	artgram_corr	artgram_incorr	artgram_rt	corsi_for_span	amma_tonal	amma_rhythm	amma_total	hindi_score_weighted	brocanto	arith	fingertap	span_visual	span_verbal
sub-pp032	13.33333333	13.66666667	13.33333333	40.33333333	46.66666667	291.0	26.475	594.0	97.21	83.0	98.0	9	4	9	22	47	280.59	56	51	51	6.81	7.81	9.7825	3.0	43.0	19	106.41	52.66666666666666	7.0	16.0	17565.608695652172	5.201673147166275	36.28164754953076	20.57318194106512	82.55432900432902	29.0	2.0	1887.8064516129032	57.4	48.6	7	6	42.0	2.0	1753.0804545454548	6.0	22.0	18.0	2403.675	23.0	16.0	2115.6666666666665	20.0	20.0	1998.6	18.0	6.0	3611.4583333333335	43.0	1.0	1899.386363636364	9.0	3.0	24238.166666666668	6.0	13	11	24	514.0	65.0	71.0	53.0	12.0	13
sub-pp033	16.66666667	14.66666667	14.0	45.33333333	46.66666667	297.0	20.57166666666667	592.0	100.21	93.0	109.0	8	8	8	24	47	126.66	54	52	55	5.2425	6.566666667	8.8075	3.0	43.0	19	80.32	53.66666666666666	19.0	1.0	62237.34499999285	13.443925233644848	31.841820151679315	-2.580419580419573	55.32284278959816	27.0	1.0	2099.442857137748	87.8	73.2	7	4	41.0	0.0	1900.6658536573736	9.0	22.0	18.0	2633.6075000166893	29.0	11.0	2560.507500004768	30.0	9.0	2439.794871800985	23.0	1.0	3576.2208333313465	43.0	1.0	1608.0681818181818	11.0	1.0	64888.74166666468	9.0	28	27	55	444.0	81.0	68.0	80.5	18.0	11
sub-pp035	16.33333333	16.0	13.0	45.33333333	45.33333333	268.0	27.125	594.0	100.03	76.0	89.0	9	9	5	23	47	151.81	56	52	56	6.845	8.5	10.0275	3.0	40.0	18	100.0	54.66666666666666	14.0	8.0	54836.972727273	15.37960600720652	69.37917283809963	40.83505343511456	45.66219935383509	26.0	0.0	2255.384615384508	62.8	57.6	8	6	36.0	2.0	2062.907894736842	7.0	20.0	20.0	1212.327500000014	18.0	22.0	757.3075000000186	31.0	9.0	2041.4525000000367	17.0	7.0	6239.829166666605	40.0	4.0	1512.1818181818182	10.0	2.0	56987.65833333368	8.0	15	17	32	291.0	69.0	62.0	60.2	15.0	14
sub-pp036	15.66666667	14.33333333	13.0	43.0	42.66666667	298.0	26.94833333333333	590.0	96.79	92.0	106.0	9	5	5	19	47	248.29	55	50	49	6.9775	7.303333333	11.1975	4.0	45.0	16	103.34	51.333333333333336	10.0	8.0	67420.88888888889	36.47846987136086	62.580611327539714	45.30046948356812	64.02994042994044	15.0	1.0	2948.375	67.6	58.8	7	6	30.0	1.0	2863.257419354838	6.0	21.0	17.0	2774.236842105264	23.0	15.0	2542.157894736842	32.0	7.0	2806.48717948718	19.0	5.0	4882.166666666667	44.0	0.0	1859.8636363636365	8.0	4.0	31971.0	8.0	19	22	41	339.0	76.0	45.0	63.2	14.0	13
sub-pp038	16.0	16.66666667	14.0	46.66666667	52.0	293.0	27.21333333333333	594.0	130.06	71.0	83.0	9	6	5	20	40	574.5	55	51	51	8.3925	9.583333333	13.57	3.0	35.0	18	116.03	52.333333333333336	9.0	14.0	43522.69565217391	34.905302704424685	23.683352637230428	28.065787417012587	70.32505193705339	21.0	1.0	2671.681818181818	70.6	70.0	6	5	37.0	0.0	2213.675675675676	7.0	26.0	12.0	2577.184210526316	23.0	17.0	3147.875	29.0	10.0	3535.153846153846	19.0	5.0	3341.6666666666665	43.0	1.0	1910.7840909741144	6.0	0.0	138230.83333333334	5.0	26	22	48	303.0	78.0	58.0	70.3	12.0	11
sub-pp039	16.33333333	15.0	14.0	45.33333333	45.33333333	298.0	22.661666666666665	596.0	84.84	82.0	96.0	9	5	8	22	40	170.1	56	52	56	5.6275	6.863333333	6.5625	5.0	64.0	20	98.78	54.66666666666666	13.0	0.0	107751.76923076923	19.721103858925915	23.73964223295985	15.987134380087184	86.83333333333331	29.0	1.0	1967.233333333333	74.0	73.4	9	6	41.0	0.0	1872.0243902439024	9.0	22.0	17.0	2398.538461538461	28.0	11.0	2418.6666666666665	26.0	14.0	2191.55	23.0	1.0	4266.875	43.0	1.0	1546.2727272727273	11.0	0.0	56676.454545454544	6.0	23	20	43	330.0	76.0	70.0	73.7	15.0	15
sub-pp042	17.0	14.66666667	12.66666667	44.33333333	33.33333333	299.0	21.326666666666664	596.0	80.72	64.0	75.0	9	7	6	22	43	172.25	55	52	55	5.205	6.276666667	6.1	3.0	44.0	19	75.0	54.0	4.0	11.0	83778.69999999901	17.25204052913034	35.91729244341752	-2.2432914981882845	76.84248120300754	25.0	1.0	2219.965384616015	60.0	53.0	6	6	33.0	5.0	2065.3447368423404	8.0	26.0	14.0	3042.2699999997394	21.0	18.0	2443.0461538456952	24.0	16.0	2439.177499999851	15.0	9.0	5506.84166666586	42.0	2.0	1574.3181818181818	8.0	4.0	42515.34166666679	7.0	11	14	25	338.0	71.0	58.0	56.5	15.0	12
sub-pp043	17.66666667	14.33333333	12.33333333	44.33333333	45.33333333	297.0	25.81833333333333	594.0	115.47	82.0	95.0	10	6	9	25	48	252.47	56	49	53	7.76	9.463333333	17.5575	5.0	51.0	19	78.34	52.66666666666666	13.0	10.0	42078.85652176193	23.678637200736603	50.82168940333469	10.44672657252886	60.48680524841518	21.0	2.0	2533.782608706018	65.6	55.2	7	5	37.0	0.0	2204.937837800464	8.0	25.0	15.0	2673.220000016689	24.0	15.0	2736.282051282052	25.0	15.0	2625.914999985695	17.0	7.0	5895.237500011921	42.0	2.0	1829.1818181818185	5.0	7.0	45077.30000001192	7.0	22	19	41	288.0	74.0	58.0	60.4	15.0	12
sub-pp044	14.33333333	13.0	11.33333333	38.66666667	38.66666667	297.0	26.39333333333333	596.0	117.2	62.0	72.0	10	8	9	27	46	191.42	56	51	56	7.1275	9.543333333	7.88	4.0	43.0	17	90.98	54.333333333333336	15.0	5.0	64230.14499999955	16.185987347843366	47.24033430719328	33.3617021141323	37.03634808260188	29.0	1.0	1991.00853333224	71.2	62.6	9	8	40.0	0.0	1913.084999998659	9.0	26.0	13.0	2158.943589740839	29.0	11.0	2288.479999998957	33.0	7.0	2805.415000000596	19.0	5.0	4566.712499999751	41.0	3.0	2220.25227274678	10.0	2.0	56961.09999999652	9.0	18	18	36	493.0	88.0	69.0	66.9	18.0	17
sub-pp045	12.33333333	12.0	10.0	34.33333333	28.0	297.0	30.501666666666665	582.0	131.03	62.0	71.0	10	3	1	14	37	629.69	55	47	43	11.54	15.05333333	24.085	2.0	27.0	17	116.57	48.333333333333336	8.0	9.0	73261.5294117647	46.425556278031536	-7.559761282059753	5.02617946426119	50.16906475077428	16.0	1.0	3518.5882352941176	45.4	47.8	5	4	31.0	0.0	2891.4193548387098	6.0	16.0	23.0	2924.948717948718	19.0	19.0	3277.0263157894738	18.0	21.0	3291.538461538461	11.0	13.0	8926.708333333334	37.0	7.0	2656.40227271481	7.0	4.0	81455.27272727272	5.0	8	12	20	315.0	53.0	47.0	46.6	11.0	9
